id,section,section_title,track,page,japanese,english,note
S051,03,通勤／通学電車,Track 03,27,妊婦さんに席を譲ったよ。,I gave my seat to a pregnant woman.,
S052,03,通勤／通学電車,Track 03,27,押さないで。息ができない。,Don't push me. I can't breathe.,
S053,03,通勤／通学電車,Track 03,28,誰かの足を踏んじゃった。,I've stepped on someone's foot.,
S054,03,通勤／通学電車,Track 03,28,乗り過ごした！,I've missed my stop!,
S055,03,通勤／通学電車,Track 03,28,降ります。通してください。,I'm getting off. Please let me through.,
S056,03,通勤／通学電車,Track 03,28,おばあさんに道をあけてあげて。,Make way for the elderly woman.,
S057,03,通勤／通学電車,Track 03,28,私に触っていますよ。,You're touching me.,
S058,03,通勤／通学電車,Track 03,28,やめないと叫びます。,Stop or I'll scream.,
S059,03,通勤／通学電車,Track 03,28,電車内で痴漢をつかまえた。,I caught a train groper on the train.,
S060,03,通勤／通学電車,Track 03,28,露出狂に遭遇したわ。,I ran into a flasher.,
S061,03,通勤／通学電車,Track 03,28,女の子はお化粧に夢中。,A girl is absorbed in putting on makeup.,
S062,03,通勤／通学電車,Track 03,28,電車が大きく揺れるか、急停車すればいいのに。,I hope the train will swing wildly or stop with a jolt.,
S063,03,通勤／通学電車,Track 03,29,女の人に険しい目でにらまれた。,A woman shot me a stern look.,
S064,03,通勤／通学電車,Track 03,29,これは女性専用車両です。,This car is for women only.,
S065,04,オフィスの朝,Track 04,29,おはよう。週末はどうだった？,Good morning. How was your weekend?,
S066,04,オフィスの朝,Track 04,29,あいつ、今朝はやたらご機嫌だな。,He is a happy guy this morning.,
S067,04,オフィスの朝,Track 04,29,僕のタイムカード押してくれる？,Can you punch my time card for me?,
S068,04,オフィスの朝,Track 04,29,8時50分に朝礼があります。,We have a morning meeting at ten to nine.,
S069,04,オフィスの朝,Track 04,29,9時のお客様が既に来ていますよ。,Your nine o'clock is already here.,
S070,04,オフィスの朝,Track 04,29,また遅刻よ。,You're late again.,
S071,04,オフィスの朝,Track 04,30,事故のせいで電車がひどく遅れてね。,The train was terribly delayed because of an accident.,
S072,04,オフィスの朝,Track 04,30,これ、あなたのコーヒー。ここへ置いておくわね。,I got you a coffee. I'll put it right here.,
S073,04,オフィスの朝,Track 04,30,いつも朝一番でメールをチェックする。,I usually check my email first thing in the morning.,
S074,04,オフィスの朝,Track 04,30,昨日の夜あなたが帰ってから、コーンウェル氏から電話がありました。,Mr. Cornwell called you after you'd left last night.,
S075,04,オフィスの朝,Track 04,30,僕に何か郵便物が来てたかな？,Did I get any mail?,
S076,04,オフィスの朝,Track 04,30,この書類を私の机に置いたのは誰？,Who left this paper on my desk?,
S077,04,オフィスの朝,Track 04,30,3時のABC商事との打ち合わせ、先方の事務所でやるんだけど一緒に来られる？,Can you come with me to the meeting with ABC Trading in their office at three?,
